method,criterium,Name,F-Measure,Fps,PSNR,DRD,Recall,Rps,Pps
dyn_wgt_sc2_16_201e,error,hw8,92.4181,92.8252,21.3019,1.9302,95.0517,89.9265,98.5807
dyn_wgt_sc2_16_201e,error,pr1,94.8082,98.3126,17.7281,2.4613,91.557,98.2988,98.6529
dyn_wgt_sc2_16_201e,error,pr2,88.383,89.7661,15.4713,4.5855,92.1657,84.8985,98.506
dyn_wgt_sc2_16_201e,error,pr3,94.8373,97.5508,17.296,1.7457,92.8669,96.8932,99.1715
dyn_wgt_sc2_16_201e,error,pr4,94.4511,98.4047,19.1656,2.341,91.1546,97.995,99.089
dyn_wgt_sc2_16_201e,error,pr5,90.8961,93.0606,15.9958,2.7159,90.9591,90.8332,98.0591
dyn_wgt_sc2_16_201e,error,pr6,32.3799,32.1152,7.0258,129.2444,95.7803,19.4832,97.3955
dyn_wgt_sc2_16_201e,error,pr7,26.22,26.0703,8.7584,145.9721,95.7068,15.1909,99.596
dyn_wgt_sc2_16_201e,error,pr8,86.9073,89.7225,14.7122,3.5876,81.4529,93.1447,88.1989
dyn_wgt_sc2_4equal_201e,error,hw1,75.5724,74.2625,10.9332,18.8134,98.4718,61.3139,99.9916
dyn_wgt_sc2_4equal_201e,error,hw2,95.8817,97.3184,24.2502,1.0508,95.2442,96.5277,98.9688
dyn_wgt_sc2_4equal_201e,error,hw3,89.1569,94.1467,18.1836,2.6934,82.8503,96.5028,92.7222
dyn_wgt_sc2_4equal_201e,error,hw4,73.3836,73.0623,12.073,12.6135,91.797,61.123,96.9519
dyn_wgt_sc2_4equal_201e,error,hw5,93.0054,93.2924,17.8491,3.0233,97.0861,89.2539,99.8373
dyn_wgt_sc2_4equal_201e,error,hw6,76.9549,76.4019,13.9336,10.7607,92.0701,66.1027,97.2576
dyn_wgt_sc2_4equal_201e,error,hw7,72.4696,73.217,15.3904,13.0771,92.5106,59.5656,98.8308
dyn_wgt_sc2_4equal_201e,error,hw8,93.0588,93.4073,21.7195,1.6919,94.9591,91.233,97.976
dyn_wgt_sc2_4equal_201e,error,pr1,93.8301,97.7702,16.9876,3.0956,90.4204,97.5069,98.2523
dyn_wgt_sc2_4equal_201e,error,pr2,87.2027,87.7201,14.8863,5.6547,94.452,80.9869,99.4358
dyn_wgt_sc2_4equal_201e,error,pr3,94.6904,96.3261,17.0821,2.0413,94.7092,94.6716,99.5662
dyn_wgt_sc2_4equal_201e,error,pr4,94.7925,98.6764,19.4517,2.1585,91.2679,98.6003,98.9629
dyn_wgt_sc2_4equal_201e,error,pr5,92.5903,94.6704,16.9077,2.0011,92.2788,92.904,98.753
dyn_wgt_sc2_4equal_201e,error,pr6,40.9683,40.6323,8.6494,88.0635,95.5177,26.0763,96.4237
dyn_wgt_sc2_4equal_201e,error,pr7,18.6836,18.4039,6.7402,233.3079,98.4812,10.3208,99.9567
dyn_wgt_sc2_4equal_201e,error,pr8,88.9015,91.4533,15.3859,3.0965,84.1702,94.1964,90.3352
dyn_wgt_sc2_64_201e,error,hw1,81.7051,83.2103,12.8764,10.9708,90.872,74.2182,98.1443
dyn_wgt_sc2_64_201e,error,hw2,88.4608,90.8431,19.8521,3.0059,86.3391,90.6895,93.2339
dyn_wgt_sc2_64_201e,error,hw3,78.4363,81.3565,15.249,5.5369,72.0344,86.0871,79.6996
dyn_wgt_sc2_64_201e,error,hw4,81.8741,83.3543,14.7112,4.9808,81.9227,81.8255,88.5896
dyn_wgt_sc2_64_201e,error,hw5,89.4987,92.8123,16.3556,3.5596,87.7689,91.2981,96.23
dyn_wgt_sc2_64_201e,error,hw6,79.697,82.5044,15.3981,6.0149,77.2499,82.3042,85.5804
dyn_wgt_sc2_64_201e,error,hw7,73.6967,74.0707,15.8225,10.5586,89.141,62.8137,95.5546
dyn_wgt_sc2_64_201e,error,hw8,87.0696,88.645,19.1017,3.1424,87.1457,86.9936,93.6693
dyn_wgt_sc2_64_201e,error,pr1,89.5817,94.4786,14.8416,5.4971,83.7982,96.2228,93.1792
dyn_wgt_sc2_64_201e,error,pr2,79.0145,83.3542,13.0884,7.8928,78.9552,79.0739,91.4298
dyn_wgt_sc2_64_201e,error,pr3,88.3304,94.6577,13.9642,3.8815,82.4132,95.163,95.3966
dyn_wgt_sc2_64_201e,error,pr4,88.9059,95.3445,16.3553,4.9448,81.9681,97.1267,94.1537
dyn_wgt_sc2_64_201e,error,pr5,83.9303,88.3676,13.7685,4.4847,79.4635,88.9291,90.8501
dyn_wgt_sc2_64_201e,error,pr6,87.7684,88.6882,19.1278,5.7173,88.4572,87.0902,92.2007
dyn_wgt_sc2_64_201e,error,pr7,79.1727,81.6787,19.886,7.2618,78.9644,79.3821,89.2801
dyn_wgt_sc2_64_201e,error,pr8,77.1581,80.9086,12.4946,5.8791,69.0707,87.3907,77.9217
dyn_wgt_sc4_16_201e,error,hw1,76.5882,75.5593,11.2387,17.332,97.0523,63.2513,99.816
dyn_wgt_sc4_16_201e,error,hw2,95.1443,96.6298,23.5288,1.2422,94.6446,95.6494,98.6785
dyn_wgt_sc4_16_201e,error,hw3,89.4801,91.938,18.1656,2.6799,86.0595,93.1839,92.2866
dyn_wgt_sc4_16_201e,error,hw4,79.6825,79.8592,13.6225,8.3327,91.3945,70.6313,97.4924
dyn_wgt_sc4_16_201e,error,hw5,93.6482,94.4897,18.3345,2.5104,96.2668,91.1683,99.7053
dyn_wgt_sc4_16_201e,error,hw6,82.9062,83.1698,15.5736,6.8573,91.6665,75.6743,97.2191
dyn_wgt_sc4_16_201e,error,hw7,82.4897,84.1659,17.9356,6.7094,92.1375,74.6709,98.9335
dyn_wgt_sc4_16_201e,error,hw8,92.4811,93.0566,21.3639,1.8624,94.5527,90.4982,98.1839
dyn_wgt_sc4_16_201e,error,pr1,94.8561,98.3654,17.7724,2.4082,91.5184,98.4465,98.6335
dyn_wgt_sc4_16_201e,error,pr2,88.3333,90.439,15.5132,4.4546,90.8431,85.9585,98.3639
dyn_wgt_sc4_16_201e,error,pr3,94.5677,97.3162,17.0684,1.8697,92.7427,96.466,99.3813
dyn_wgt_sc4_16_201e,error,pr4,94.2383,98.6411,19.0406,2.3602,90.1476,98.7179,98.7625
dyn_wgt_sc4_16_201e,error,pr5,91.2969,94.085,16.2614,2.4288,89.8981,92.74,97.7064
dyn_wgt_sc4_16_201e,error,pr6,58.1347,57.7565,11.7214,42.5436,94.2107,42.0374,96.4608
dyn_wgt_sc4_16_201e,error,pr7,53.7715,53.468,13.9357,42.4806,95.0969,37.4829,99.5431
dyn_wgt_sc4_16_201e,error,pr8,85.4995,88.6203,14.3609,3.9491,78.4503,93.9406,85.2062
no_wgt_sc2_16_201e,error,hw1,84.034,84.1767,13.3751,10.2145,95.4763,75.0408,99.2745
no_wgt_sc2_16_201e,error,hw2,94.7173,96.4479,23.1743,1.4173,93.9694,95.4772,98.4953
no_wgt_sc2_16_201e,error,hw3,89.7851,92.8497,18.3234,2.5945,85.7583,94.2086,92.8357
no_wgt_sc2_16_201e,error,hw4,86.1323,87.7817,15.7168,4.5178,89.3629,83.1271,96.4386
no_wgt_sc2_16_201e,error,hw5,94.087,95.4453,18.7108,2.1989,95.271,92.9321,99.5358
no_wgt_sc2_16_201e,error,hw6,83.0905,83.5011,15.6995,6.5862,90.2182,77.0066,96.4397
no_wgt_sc2_16_201e,error,hw7,71.5089,72.5122,15.2044,13.622,92.0659,58.4564,99.0885
no_wgt_sc2_16_201e,error,hw8,92.233,93.6537,21.3119,1.857,92.3872,92.0794,97.2118
no_wgt_sc2_16_201e,error,pr1,93.6222,98.0075,16.8972,3.0134,89.1165,98.6077,97.6762
no_wgt_sc2_16_201e,error,pr2,88.7031,92.6157,15.8775,3.803,86.6275,90.8806,96.2411
no_wgt_sc2_16_201e,error,pr3,93.9065,97.6411,16.6277,2.0426,90.8693,97.1537,99.062
no_wgt_sc2_16_201e,error,pr4,93.3611,98.5259,18.4647,2.7299,88.4989,98.7886,98.4849
no_wgt_sc2_16_201e,error,pr5,89.8315,94.2126,15.7458,2.7191,85.2505,94.9327,94.9527
no_wgt_sc2_16_201e,error,pr6,84.1877,84.5701,17.8858,8.6492,87.3639,81.2343,89.4041
no_wgt_sc2_16_201e,error,pr7,58.4536,58.7754,14.9041,33.5964,92.0354,42.8269,98.8169
no_wgt_sc2_16_201e,error,pr8,85.8238,89.3724,14.4533,3.8429,78.8534,94.146,86.3913
stat_wgt05_sc2_16_201e,error,hw1,79.7381,78.6922,12.0005,14.2843,97.9679,67.2283,99.8319
stat_wgt05_sc2_16_201e,error,hw2,94.3723,94.6278,22.7639,1.5097,96.5991,92.2458,99.0559
stat_wgt05_sc2_16_201e,error,hw3,90.0486,91.4043,18.2645,2.5563,89.4936,90.6105,94.5152
stat_wgt05_sc2_16_201e,error,hw4,83.2716,83.2476,14.5961,6.1627,92.7055,75.5805,97.7627
stat_wgt05_sc2_16_201e,error,hw5,92.9847,93.1386,17.8335,2.7888,97.1261,89.1821,99.765
stat_wgt05_sc2_16_201e,error,hw6,79.642,79.051,14.6216,8.6192,92.06,70.176,96.3356
stat_wgt05_sc2_16_201e,error,hw7,76.6189,76.8684,16.2555,10.3424,94.3651,64.4909,99.2645
stat_wgt05_sc2_16_201e,error,hw8,90.3085,90.0149,20.1543,2.4599,94.6402,86.356,97.7094
stat_wgt05_sc2_16_201e,error,pr1,95.0183,97.7074,17.8576,2.4741,92.82,97.3234,98.573
stat_wgt05_sc2_16_201e,error,pr2,85.1305,85.0527,14.127,6.7627,94.5184,77.4389,98.9688
stat_wgt05_sc2_16_201e,error,pr3,94.5178,96.0465,16.9387,2.0278,94.6334,94.4024,99.4085
stat_wgt05_sc2_16_201e,error,pr4,95.1795,98.0571,19.7167,2.0119,93.1383,97.3123,99.3294
stat_wgt05_sc2_16_201e,error,pr5,90.8361,91.5481,15.857,2.7439,93.2351,88.5575,98.5169
stat_wgt05_sc2_16_201e,error,pr6,69.124,68.1878,13.6974,25.9596,96.3657,53.8899,97.6409
stat_wgt05_sc2_16_201e,error,pr7,61.1897,60.7107,15.2653,30.4647,94.9055,45.1499,99.4133
stat_wgt05_sc2_16_201e,error,pr8,87.2586,89.0537,14.7113,3.5603,84.055,90.7162,89.7553
stat_wgt20_sc2_16_201e,error,hw1,81.7467,82.3615,12.7268,11.9497,94.3186,72.132,99.7531
stat_wgt20_sc2_16_201e,error,hw2,94.5487,97.9033,23.145,1.3619,91.516,97.7892,98.5246
stat_wgt20_sc2_16_201e,error,hw3,89.0234,93.9766,18.1505,2.6775,82.345,96.8808,91.9001
stat_wgt20_sc2_16_201e,error,hw4,82.4195,85.1735,14.6343,6.1982,86.5455,78.669,96.1123
stat_wgt20_sc2_16_201e,error,hw5,93.934,96.3034,18.6752,2.2156,93.4811,94.3913,99.2764
stat_wgt20_sc2_16_201e,error,hw6,83.4893,87.1626,16.1839,5.524,83.0428,83.9407,93.018
stat_wgt20_sc2_16_201e,error,hw7,81.9754,85.4971,17.9916,6.4789,87.8105,76.8675,98.2438
stat_wgt20_sc2_16_201e,error,hw8,92.3557,95.9312,21.5479,1.7347,89.0232,95.9474,96.8856
stat_wgt20_sc2_16_201e,error,pr1,92.571,97.9691,16.3039,3.4656,86.7216,99.2665,96.8411
stat_wgt20_sc2_16_201e,error,pr2,86.9888,93.1094,15.4126,4.1339,82.0939,92.5043,94.9861
stat_wgt20_sc2_16_201e,error,pr3,93.3026,98.2165,16.2877,2.1322,88.8333,98.2455,98.7894
stat_wgt20_sc2_16_201e,error,pr4,91.5985,98.4765,17.5449,3.4191,84.7972,99.586,97.4712
stat_wgt20_sc2_16_201e,error,pr5,87.4604,94.8762,15.0278,3.1928,79.405,97.3346,93.2796
stat_wgt20_sc2_16_201e,error,pr6,85.3359,86.5269,18.3484,7.4937,85.8416,84.8362,89.1704
stat_wgt20_sc2_16_201e,error,pr7,51.069,51.7324,13.6708,45.6637,90.696,35.5406,99.1896
stat_wgt20_sc2_16_201e,error,pr8,83.9112,89.4495,14.0705,4.1742,74.1911,96.5622,84.0151
