method,criterium,Name,F-Measure,Fps,PSNR,DRD,Recall,Rps,Pps
dyn_wgt_sc1_16_201e,error,hw1,78.9469,78.639,11.8702,14.8479,96.1943,66.944,99.9602
dyn_wgt_sc1_16_201e,error,hw2,94.1627,96.9369,22.8159,1.4874,91.8158,96.6326,98.0137
dyn_wgt_sc1_16_201e,error,hw3,89.4353,93.0723,18.2079,2.6193,84.8227,94.5783,92.8199
dyn_wgt_sc1_16_201e,error,hw4,81.1719,83.1,14.1882,6.9806,88.1976,75.183,96.0041
dyn_wgt_sc1_16_201e,error,hw5,93.3172,95.1979,18.1942,2.5323,94.1681,92.4816,99.4509
dyn_wgt_sc1_16_201e,error,hw6,78.9792,80.0664,14.5829,8.9083,89.2065,70.8557,96.3884
dyn_wgt_sc1_16_201e,error,hw7,72.6965,74.2743,15.5279,12.459,90.6562,60.6761,98.6703
dyn_wgt_sc1_16_201e,error,hw8,91.666,93.7957,21.0609,1.9443,90.6641,92.6904,96.7205
dyn_wgt_sc1_16_201e,error,pr1,93.2783,97.4593,16.6264,3.3734,89.6661,97.1936,97.9873
dyn_wgt_sc1_16_201e,error,pr2,85.1331,87.1808,14.2971,6.4583,90.9075,80.0484,98.6308
dyn_wgt_sc1_16_201e,error,pr3,93.3629,97.1306,16.2377,2.3349,90.7377,96.1446,99.0557
dyn_wgt_sc1_16_201e,error,pr4,93.466,98.5458,18.5288,2.689,88.7026,98.7701,98.4974
dyn_wgt_sc1_16_201e,error,pr5,91.2985,94.6861,16.2982,2.3667,89.1558,93.5466,97.849
dyn_wgt_sc1_16_201e,error,pr6,56.0873,56.0564,11.3756,46.2822,93.8376,39.9968,96.4702
dyn_wgt_sc1_16_201e,error,pr7,63.5991,63.759,15.7659,27.2243,93.7216,48.13,99.7547
dyn_wgt_sc1_16_201e,error,pr8,86.7611,90.839,14.7081,3.5295,80.4948,94.0854,89.1894
dyn_wgt_sc2_16_201e,error,hw1,82.0537,81.3962,12.6812,12.1672,97.3092,70.9333,99.9452
dyn_wgt_sc2_16_201e,error,hw2,95.4289,96.5879,23.7591,1.171,95.6287,95.2298,99.1355
dyn_wgt_sc2_16_201e,error,hw3,90.2876,92.3671,18.4624,2.4792,87.8418,92.8734,93.5359
dyn_wgt_sc2_16_201e,error,hw4,75.2797,75.3969,12.5163,11.1857,91.5517,63.9191,97.6747
dyn_wgt_sc2_16_201e,error,hw5,92.7663,93.1748,17.7047,3.0768,96.8004,89.0549,99.7535
dyn_wgt_sc2_16_201e,error,hw6,77.909,77.6525,14.1249,10.2204,93.0465,67.0076,97.9593
dyn_wgt_sc2_16_201e,error,hw7,74.1902,74.9828,15.7488,11.8906,93.0195,61.7006,99.1186
