method,criterium,Name,F-Measure,Fps,PSNR,DRD,Recall,Rps,Pps
dyn_wgt_sc1_16_201e,error,h01,92.7047,95.1993,18.1793,2.6216,90.4121,95.1166,96.4841
dyn_wgt_sc1_16_201e,error,h02,79.4521,84.3259,18.0624,7.0824,67.0044,97.5801,74.5441
dyn_wgt_sc1_16_201e,error,h03,89.6079,95.2688,18.5967,2.4992,84.0706,95.926,95.6273
dyn_wgt_sc1_16_201e,error,h04,89.5475,92.1987,17.8087,2.7519,85.2201,94.3379,91.4304
dyn_wgt_sc1_16_201e,error,h05,93.4463,93.6507,21.0576,1.929,96.7373,90.3719,99.7171
dyn_wgt_sc1_16_201e,error,h06,89.3073,94.7863,18.9251,2.2247,84.4171,94.7989,96.7766
dyn_wgt_sc1_16_201e,error,h07,90.9476,93.363,19.069,2.6171,88.6702,93.3451,95.0122
dyn_wgt_sc1_16_201e,error,h08,84.9399,90.8103,16.647,3.326,77.2241,94.3686,88.7294
dyn_wgt_sc1_16_201e,error,h09,89.1399,94.1417,20.2102,2.2207,84.3289,94.5331,95.2759
dyn_wgt_sc1_16_201e,error,h10,79.0689,78.48,16.7184,5.847,66.3943,97.7244,65.8149
dyn_wgt_sc2_16_201e,error,h01,90.3041,94.0368,17.1022,3.6102,84.917,96.4211,92.5533
dyn_wgt_sc2_16_201e,error,h02,79.0341,84.1418,18.0092,7.1303,66.1274,98.2011,73.8502
dyn_wgt_sc2_16_201e,error,h03,89.4649,94.6436,18.5022,2.5859,84.6183,94.9005,95.6819
dyn_wgt_sc2_16_201e,error,h04,89.8487,92.5931,17.9337,2.6517,85.5455,94.6079,91.8762
dyn_wgt_sc2_16_201e,error,h05,94.0275,95.1976,21.5583,1.6741,95.1803,92.9022,99.5417
dyn_wgt_sc2_16_201e,error,h06,89.9527,94.7837,19.1525,2.0728,85.8727,94.4397,97.3647
dyn_wgt_sc2_16_201e,error,h07,89.9642,93.2676,18.7226,2.8906,85.6863,94.6918,93.1323
dyn_wgt_sc2_16_201e,error,h08,85.8089,91.2009,16.8524,3.1235,78.9673,93.9484,89.9899
dyn_wgt_sc2_16_201e,error,h09,90.4247,94.5946,20.6899,1.9534,86.8754,94.2763,96.626
dyn_wgt_sc2_16_201e,error,h10,78.4331,78.6816,16.6316,5.9872,65.2089,98.3855,65.7255
dyn_wgt_sc2_4equal_201e,error,h01,84.0589,88.3379,15.2213,6.1082,74.1368,97.0474,81.5213
dyn_wgt_sc2_4equal_201e,error,h02,77.9671,83.5411,17.8394,7.4192,64.5514,98.422,72.7455
dyn_wgt_sc2_4equal_201e,error,h03,88.9808,95.7556,18.4097,2.6449,82.1941,96.9891,95.1404
dyn_wgt_sc2_4equal_201e,error,h04,88.6032,91.1654,17.5057,3.0085,82.9234,95.1181,88.527
dyn_wgt_sc2_4equal_201e,error,h05,93.4035,93.7496,21.0445,1.9656,96.3551,90.6273,99.4788
dyn_wgt_sc2_4equal_201e,error,h06,86.3433,94.0398,18.0284,2.7837,78.5581,95.8415,93.783
dyn_wgt_sc2_4equal_201e,error,h07,91.076,93.1222,19.115,2.5835,89.1255,93.1138,94.7923
