method,criterium,Name,F-Measure,Fps,PSNR,DRD,Recall,Rps,Pps
dyn_wgt_sc1_16_201e,error,h01,91.6374,95.2697,19.6801,2.1707,88.1737,95.3843,96.2671
dyn_wgt_sc1_16_201e,error,h02,89.3408,90.8507,23.1193,4.7401,94.4556,84.7514,99.7276
dyn_wgt_sc1_16_201e,error,h03,90.56,90.5085,17.1408,3.0671,95.4694,86.1308,98.7307
dyn_wgt_sc1_16_201e,error,h04,90.3822,91.1,18.4291,3.274,91.9674,88.8508,96.4258
dyn_wgt_sc1_16_201e,error,h05,82.6114,84.0663,19.0856,5.229,76.9051,89.2323,81.3168
dyn_wgt_sc1_16_201e,error,p01,92.1624,93.2836,17.1649,2.1121,93.61,90.7588,98.6472
dyn_wgt_sc1_16_201e,error,p02,96.0186,96.4691,17.754,1.7396,97.4518,94.6269,99.6071
dyn_wgt_sc1_16_201e,error,p03,85.1977,90.7771,13.4645,11.4409,75.8546,97.1656,85.6807
dyn_wgt_sc1_16_201e,error,p04,93.7831,95.5317,18.8592,2.0697,93.7886,93.7777,99.1075
dyn_wgt_sc1_16_201e,error,p05,91.7828,94.7095,16.2598,2.2521,90.3426,93.2696,97.727
dyn_wgt_sc2_16_201e,error,h01,93.3917,96.1168,20.6164,1.7029,91.6623,95.1876,98.2742
dyn_wgt_sc2_16_201e,error,h02,86.3658,87.4692,21.8613,6.818,95.3713,78.9143,99.7421
dyn_wgt_sc2_16_201e,error,h03,90.1262,89.6079,16.8825,3.3061,96.4051,84.6151,99.0481
dyn_wgt_sc2_16_201e,error,h04,90.5695,91.2093,18.4742,3.2416,93.0169,88.2475,97.5234
dyn_wgt_sc2_16_201e,error,h05,84.813,86.0353,19.5554,4.5875,81.1324,88.8435,85.5346
dyn_wgt_sc2_16_201e,error,p01,92.5937,93.0931,17.3775,2.0145,94.7707,90.5144,98.6479
dyn_wgt_sc2_16_201e,error,p02,95.736,95.703,17.407,1.8942,98.2728,93.3268,99.7749
dyn_wgt_sc2_16_201e,error,p03,83.9317,90.6678,13.1286,12.5545,74.3771,96.3031,86.1843
dyn_wgt_sc2_16_201e,error,p04,93.7112,94.6863,18.7404,2.2084,95.214,92.2552,99.4722
dyn_wgt_sc2_16_201e,error,p05,91.8754,94.2736,16.2673,2.3256,91.3049,92.453,97.8089
dyn_wgt_sc2_4equal_201e,error,h01,93.3247,94.3802,20.4872,1.7621,93.4144,93.2351,97.2265
dyn_wgt_sc2_4equal_201e,error,h02,79.3943,80.2455,19.6898,11.952,95.6432,67.8647,99.7547
dyn_wgt_sc2_4equal_201e,error,h03,89.4737,87.9252,16.5152,3.5396,97.6969,82.5273,98.9092
dyn_wgt_sc2_4equal_201e,error,h04,89.4861,88.2345,17.8359,3.9295,95.4858,84.1959,97.5404
dyn_wgt_sc2_4equal_201e,error,h05,82.0995,83.2566,18.9834,5.4108,76.0109,89.2486,79.6171
dyn_wgt_sc2_4equal_201e,error,p01,92.1376,91.5386,17.013,2.1934,96.6099,88.061,98.9718
dyn_wgt_sc2_4equal_201e,error,p02,95.8802,95.5448,17.5349,1.8326,98.9083,93.032,99.8381
dyn_wgt_sc2_4equal_201e,error,p03,83.1516,88.7416,12.9114,13.4187,73.8766,95.0897,83.7086
dyn_wgt_sc2_4equal_201e,error,p04,93.5976,93.5009,18.5785,2.3518,96.958,90.4624,99.6493
dyn_wgt_sc2_4equal_201e,error,p05,93.0197,94.5448,16.8865,1.9427,93.301,92.7402,98.2078
dyn_wgt_sc2_64_201e,error,h01,82.1886,85.5938,16.5351,4.8689,76.5987,88.6587,85.1827
dyn_wgt_sc2_64_201e,error,h02,82.0369,83.8225,20.6337,8.5573,91.2219,74.5324,98.5053
dyn_wgt_sc2_64_201e,error,h03,86.6654,87.567,15.7294,4.392,89.5174,83.9895,95.2469
dyn_wgt_sc2_64_201e,error,h04,87.8104,89.4987,17.4392,4.3313,88.5479,87.0852,95.3234
dyn_wgt_sc2_64_201e,error,h05,81.4252,83.6188,18.7583,5.6881,76.5156,87.0079,82.8241
dyn_wgt_sc2_64_201e,error,p01,85.7412,87.4315,14.6166,4.0294,86.0768,85.4081,93.7416
dyn_wgt_sc2_64_201e,error,p02,92.5019,94.2111,15.0916,3.6502,92.0263,92.9823,97.0311
dyn_wgt_sc2_64_201e,error,p03,70.0191,81.3886,10.8802,20.6549,55.8072,93.9423,72.7974
dyn_wgt_sc2_64_201e,error,p04,89.9663,92.9913,16.8257,3.2959,89.0358,90.9165,97.6205
dyn_wgt_sc2_64_201e,error,p05,86.3421,87.5097,13.8701,4.134,88.6457,84.1553,95.2294
dyn_wgt_sc4_16_201e,error,h01,93.2469,96.0835,20.511,1.7341,91.7594,94.7835,98.7567
dyn_wgt_sc4_16_201e,error,h02,83.3764,84.4511,20.8518,8.8189,95.2747,74.1199,99.8692
dyn_wgt_sc4_16_201e,error,h03,90.1533,89.7864,16.8914,3.3655,96.5022,84.5882,99.46
dyn_wgt_sc4_16_201e,error,h04,90.7442,90.9696,18.5271,3.1628,93.8062,87.8757,97.7017
dyn_wgt_sc4_16_201e,error,h05,85.5748,86.8836,19.759,4.385,82.2379,89.194,86.8273
dyn_wgt_sc4_16_201e,error,p01,92.3169,93.3793,17.2602,2.0462,93.5777,91.0897,98.4251
dyn_wgt_sc4_16_201e,error,p02,95.9808,96.3315,17.7024,1.7498,97.6501,94.3675,99.6712
dyn_wgt_sc4_16_201e,error,p03,83.386,90.5285,13.004,12.8838,73.5461,96.2654,85.9501
dyn_wgt_sc4_16_201e,error,p04,94.1264,95.907,19.1037,1.9288,94.1782,94.0747,99.4408
dyn_wgt_sc4_16_201e,error,p05,91.9504,94.8908,16.3705,2.17,90.0652,93.9162,97.2068
no_wgt_sc2_16_201e,error,h01,91.5431,94.2314,19.5839,2.243,89.0524,94.1773,95.7097
no_wgt_sc2_16_201e,error,h02,88.0894,89.5134,22.5576,5.5907,94.8562,82.2238,99.7141
no_wgt_sc2_16_201e,error,h03,91.2988,91.6158,17.5714,2.582,94.5662,88.2497,98.2789
