method,criterium,Name,F-Measure,Fps,PSNR,DRD,Recall,Rps,Pps
no_wgt_sc2_16_201e,error,h04,90.1436,91.4053,18.3921,3.2696,90.2705,90.0169,95.4033
no_wgt_sc2_16_201e,error,h05,79.4908,81.9474,18.5745,5.9678,70.5766,90.9824,75.8133
no_wgt_sc2_16_201e,error,p01,91.7221,93.729,17.0294,2.1568,91.0029,92.4528,97.1583
no_wgt_sc2_16_201e,error,p02,96.109,96.4178,17.8409,1.6831,97.8331,94.4446,99.7248
no_wgt_sc2_16_201e,error,p03,79.9961,88.5139,12.3428,15.1248,68.2352,96.6556,82.1769
no_wgt_sc2_16_201e,error,p04,93.6719,95.6117,18.7939,2.0814,93.425,93.9202,99.0713
no_wgt_sc2_16_201e,error,p05,91.3629,94.8503,16.115,2.2836,88.4571,94.466,96.5239
stat_wgt05_sc2_16_201e,error,h01,92.3982,93.2343,19.8314,2.0616,94.4543,90.4297,98.7828
stat_wgt05_sc2_16_201e,error,h02,81.8895,81.8662,20.327,9.9721,96.9237,70.893,99.8404
stat_wgt05_sc2_16_201e,error,h03,90.0012,88.8394,16.7635,3.3132,97.7077,83.4214,99.5349
stat_wgt05_sc2_16_201e,error,h04,89.32,88.572,17.7682,3.8839,95.3009,84.0455,98.3493
stat_wgt05_sc2_16_201e,error,h05,83.7169,82.4499,18.9001,5.4591,86.8574,80.7956,89.0256
stat_wgt05_sc2_16_201e,error,p01,91.1695,90.392,16.453,2.5601,96.8286,86.1353,99.3783
stat_wgt05_sc2_16_201e,error,p02,95.0944,94.5876,16.7418,2.2403,98.8905,91.579,99.8158
stat_wgt05_sc2_16_201e,error,p03,90.0329,92.9072,14.8812,7.9914,85.9123,94.5687,92.3289
stat_wgt05_sc2_16_201e,error,p04,93.296,93.0891,18.3575,2.3985,97.1159,89.7653,99.7874
stat_wgt05_sc2_16_201e,error,p05,91.0681,91.4476,15.6435,2.8522,95.0391,87.4155,98.8781
stat_wgt20_sc2_16_201e,error,h01,91.1392,95.0455,19.4647,2.3129,86.971,95.7271,95.3943
stat_wgt20_sc2_16_201e,error,h02,93.2545,96.4676,25.3975,2.3136,92.202,94.3312,99.4638
stat_wgt20_sc2_16_201e,error,h03,91.5393,92.4558,17.7556,2.4978,93.4614,89.6947,97.9619
stat_wgt20_sc2_16_201e,error,h04,87.3026,90.554,17.6096,4.1283,81.2616,94.314,88.2608
stat_wgt20_sc2_16_201e,error,h05,76.6955,79.7077,18.1655,6.6386,65.8446,91.8283,71.3991
stat_wgt20_sc2_16_201e,error,p01,91.925,94.3175,17.152,2.0884,90.8935,92.9803,97.6572
stat_wgt20_sc2_16_201e,error,p02,96.3266,97.3379,18.1588,1.5513,96.5304,96.1236,99.4506
stat_wgt20_sc2_16_201e,error,p03,82.3022,89.8813,12.8268,13.3476,70.9823,97.9177,83.4133
stat_wgt20_sc2_16_201e,error,p04,93.2671,96.4217,18.6114,2.1643,91.1797,95.4522,98.6181
stat_wgt20_sc2_16_201e,error,p05,90.7249,95.6255,15.8875,2.3691,86.1967,95.7554,96.4037
