method,criterium,Name,F-Measure,Fps,PSNR,DRD,Recall,Rps,Pps
dyn_wgt_sc2_64_201e,error,h02,85.7947,85.9292,16.4624,4.0362,82.9058,88.8923,85.3994
dyn_wgt_sc2_64_201e,error,h03,89.0919,90.3461,16.76,7.5454,82.8289,96.3797,85.3518
dyn_wgt_sc2_64_201e,error,h04,81.4166,87.1912,13.0267,6.7384,72.5334,92.7795,83.5021
dyn_wgt_sc2_64_201e,error,h05,78.522,85.5723,12.2165,7.9426,67.4167,94.0075,79.6986
dyn_wgt_sc2_64_201e,error,h06,17.308,18.9921,8.5639,25.978,9.5201,95.1273,10.5615
dyn_wgt_sc2_64_201e,error,h07,86.6199,87.9624,16.1714,3.5791,88.5881,84.7374,95.6145
dyn_wgt_sc2_64_201e,error,h08,90.0072,91.3879,22.0805,2.6329,91.9255,88.1673,98.0844
dyn_wgt_sc2_64_201e,error,h09,89.1707,90.5701,16.6293,3.0068,91.1116,87.3108,97.5024
dyn_wgt_sc2_64_201e,error,h10,88.6251,90.0115,16.4081,3.1699,90.7555,86.5924,97.5009
dyn_wgt_sc4_16_201e,error,h01,94.2344,96.5003,21.9036,1.4618,92.8902,95.6182,98.5011
dyn_wgt_sc4_16_201e,error,h02,93.0468,94.4668,19.5221,1.9319,90.8051,95.4019,94.6123
dyn_wgt_sc4_16_201e,error,h03,98.5157,98.9586,25.0948,0.71573,98.7631,98.2695,99.8613
dyn_wgt_sc4_16_201e,error,h04,94.0621,95.922,17.5838,2.141,91.837,96.3976,96.2348
dyn_wgt_sc4_16_201e,error,h05,93.2917,95.4099,16.7437,2.5108,90.4234,96.3478,95.4099
dyn_wgt_sc4_16_201e,error,h06,42.7618,39.7021,9.4929,21.1892,27.4364,96.8736,25.0021
dyn_wgt_sc4_16_201e,error,h07,92.6746,93.8149,18.7747,2.2383,95.0646,90.4018,99.7992
dyn_wgt_sc4_16_201e,error,h08,95.5815,97.1344,25.7155,1.1454,95.5982,95.5649,99.8291
dyn_wgt_sc4_16_201e,error,h09,95.4787,96.8699,20.5062,1.1995,95.697,95.2614,99.7662
dyn_wgt_sc4_16_201e,error,h10,95.0868,96.7591,20.1566,1.3434,95.1003,95.0733,99.8131
no_wgt_sc2_16_201e,error,h01,94.3847,95.7902,21.9558,1.4356,94.386,94.3834,98.6576
no_wgt_sc2_16_201e,error,h02,92.9501,93.8543,19.4122,1.9802,91.7611,94.1703,94.9136
no_wgt_sc2_16_201e,error,h03,98.3948,98.8457,24.7539,0.78092,98.6625,98.1286,99.7978
no_wgt_sc2_16_201e,error,h04,94.9487,96.7761,18.2553,1.7365,93.3649,96.5872,97.7415
no_wgt_sc2_16_201e,error,h05,93.8518,96.0533,17.0998,2.2401,91.4407,96.3936,96.6072
no_wgt_sc2_16_201e,error,h06,52.5345,50.1626,10.0173,18.7298,36.0233,96.9891,33.8916
no_wgt_sc2_16_201e,error,h07,93.7304,94.8947,19.4862,1.7583,95.3624,92.1534,99.7246
no_wgt_sc2_16_201e,error,h08,95.6921,97.2038,25.8244,1.1066,95.7326,95.6516,99.8538
no_wgt_sc2_16_201e,error,h09,95.4602,96.7138,20.4788,1.1843,95.8919,95.0324,99.7118
no_wgt_sc2_16_201e,error,h10,95.0838,96.6162,20.1411,1.34,95.3778,94.7916,99.8584
stat_wgt05_sc2_16_201e,error,h01,93.1945,93.2831,20.9788,1.7907,96.2965,90.2862,99.0773
stat_wgt05_sc2_16_201e,error,h02,92.0436,91.8845,18.7466,2.2591,93.8493,90.3062,95.9316
stat_wgt05_sc2_16_201e,error,h03,97.988,98.1144,23.7292,0.98664,99.2479,96.7597,99.9006
stat_wgt05_sc2_16_201e,error,h04,94.827,95.8653,18.0537,1.7874,95.3773,94.2831,98.9255
stat_wgt05_sc2_16_201e,error,h05,94.484,95.6614,17.4354,1.9702,94.9768,93.9963,99.0385
stat_wgt05_sc2_16_201e,error,h06,67.4593,66.8754,11.148,14.1625,52.0074,95.9742,51.534
stat_wgt05_sc2_16_201e,error,h07,89.1054,88.1893,16.7612,3.919,97.709,81.8943,99.8945
stat_wgt05_sc2_16_201e,error,h08,94.4981,94.6735,24.6315,1.5116,97.4221,91.7446,99.8656
stat_wgt05_sc2_16_201e,error,h09,93.4116,93.4302,18.7072,1.9573,97.225,89.8862,99.8005
stat_wgt05_sc2_16_201e,error,h10,93.3638,93.3921,18.6807,2.026,97.109,89.8967,99.8899
stat_wgt20_sc2_16_201e,error,h01,93.6579,96.6869,21.5382,1.5855,91.2967,96.1446,98.1979
stat_wgt20_sc2_16_201e,error,h02,92.7335,94.9436,19.3813,1.9993,89.4528,96.264,94.5186
stat_wgt20_sc2_16_201e,error,h03,98.1426,99.2788,24.1679,0.90123,97.3305,98.9684,99.7153
stat_wgt20_sc2_16_201e,error,h04,93.5446,95.8083,17.2747,2.3141,90.208,97.1375,95.1495
stat_wgt20_sc2_16_201e,error,h05,92.0148,94.9435,16.0682,3.0084,87.5336,96.9796,93.7628
stat_wgt20_sc2_16_201e,error,h06,45.0054,42.3122,9.6105,20.5973,29.2513,97.5365,27.0524
stat_wgt20_sc2_16_201e,error,h07,93.2938,95.9427,19.2986,1.7928,92.657,93.9395,99.7102
stat_wgt20_sc2_16_201e,error,h08,95.0903,98.1615,25.3521,1.2177,93.0601,97.211,99.8007
stat_wgt20_sc2_16_201e,error,h09,95.0141,97.7359,20.1623,1.3033,93.4724,96.6075,99.7168
stat_wgt20_sc2_16_201e,error,h10,94.4263,97.4712,19.6893,1.4793,92.704,96.2139,99.7491
