method,criterium,Name,F-Measure,Fps,PSNR,DRD,Recall,Rps,Pps
dyn_wgt_sc1_16_201e,error,h01,93.9424,96.2973,21.6827,1.552,92.7359,95.1807,98.6604
dyn_wgt_sc1_16_201e,error,h02,92.8883,94.2421,19.3963,1.9729,91.237,94.6005,95.1561
dyn_wgt_sc1_16_201e,error,h03,98.371,98.9337,24.6975,0.7898,98.4657,98.2765,99.8059
dyn_wgt_sc1_16_201e,error,h04,94.2953,96.6994,17.7699,1.9727,91.8104,96.9184,97.2096
dyn_wgt_sc1_16_201e,error,h05,93.213,95.5796,16.6932,2.5219,90.3457,96.2683,95.8254
dyn_wgt_sc1_16_201e,error,h06,54.0612,52.649,10.0977,18.3117,37.5999,96.1602,36.3643
dyn_wgt_sc1_16_201e,error,h07,93.3074,94.5503,19.194,1.9227,95.122,91.5608,99.8404
dyn_wgt_sc1_16_201e,error,h08,95.322,97.1042,25.4776,1.218,95.1204,95.5245,99.7971
dyn_wgt_sc1_16_201e,error,h09,95.078,96.6065,20.1402,1.3189,95.2354,94.9211,99.5967
dyn_wgt_sc1_16_201e,error,h10,94.9335,96.6825,20.0242,1.3684,94.9232,94.9438,99.8201
dyn_wgt_sc2_16_201e,error,h01,94.599,96.2798,22.1419,1.3684,94.2275,94.9735,98.8959
dyn_wgt_sc2_16_201e,error,h02,93.6972,94.7844,19.8886,1.7495,92.7143,94.7012,96.1449
dyn_wgt_sc2_16_201e,error,h03,98.434,99.0503,24.8759,0.75735,98.3708,98.4973,99.7904
dyn_wgt_sc2_16_201e,error,h04,94.659,96.5256,18.0212,1.8571,92.9053,96.4802,97.3811
dyn_wgt_sc2_16_201e,error,h05,93.7867,96.0703,17.049,2.2854,91.4828,96.2096,96.9022
dyn_wgt_sc2_16_201e,error,h06,56.9863,54.566,10.3079,17.5789,40.3296,97.083,38.0309
dyn_wgt_sc2_16_201e,error,h07,92.6294,93.3359,18.7262,2.2737,95.4952,89.9306,99.7985
dyn_wgt_sc2_16_201e,error,h08,95.5461,97.1026,25.6789,1.1681,95.6032,95.4891,99.8265
dyn_wgt_sc2_16_201e,error,h09,95.1828,96.5235,20.216,1.3264,95.7285,94.6432,99.8045
dyn_wgt_sc2_16_201e,error,h10,94.6845,96.4558,19.809,1.4966,94.8229,94.5465,99.8003
dyn_wgt_sc2_4equal_201e,error,h01,95.312,97.0008,22.8027,1.1859,93.9403,96.7244,98.083
dyn_wgt_sc2_4equal_201e,error,h02,94.4387,95.524,20.5039,1.56,91.9174,97.1023,94.6582
dyn_wgt_sc2_4equal_201e,error,h03,98.6546,99.1471,25.5478,0.69398,98.3052,99.0065,99.4102
dyn_wgt_sc2_4equal_201e,error,h04,93.4768,95.7504,17.2784,2.4211,89.129,98.2704,93.6936
dyn_wgt_sc2_4equal_201e,error,h05,92.0992,94.4938,16.1458,3.1018,86.9829,97.8551,91.8245
dyn_wgt_sc2_4equal_201e,error,h06,45.9461,41.2593,9.6659,20.531,29.9974,98.1054,26.1485
dyn_wgt_sc2_4equal_201e,error,h07,93.1735,94.1549,19.0846,2.1905,95.497,90.9604,99.6895
dyn_wgt_sc2_4equal_201e,error,h08,96.282,98.1139,26.5029,0.96085,95.4638,97.1143,99.7551
dyn_wgt_sc2_4equal_201e,error,h09,96.4546,97.9799,21.594,0.90693,95.9693,96.9448,99.8131
dyn_wgt_sc2_4equal_201e,error,h10,95.8953,97.5581,20.9589,1.0982,95.4346,96.3605,99.8326
dyn_wgt_sc2_64_201e,error,h01,84.148,86.6228,17.6199,4.2285,80.8952,87.6733,88.4042
