method,criterium,Name,F-Measure,Fps,PSNR,DRD,Recall,Rps,Pps
dyn_wgt_sc1_16_201e,error,hw01,91.5244,93.704,21.991,2.2458,87.3287,96.1435,92.1833
dyn_wgt_sc1_16_201e,error,hw02,93.7151,96.601,20.804,1.5934,92.348,95.1233,99.1725
dyn_wgt_sc1_16_201e,error,hw03,91.7767,94.0394,19.7466,2.203,89.6256,94.0336,95.4759
dyn_wgt_sc1_16_201e,error,hw04,96.874,98.4394,25.2858,1.2309,96.3271,97.4271,99.8146
dyn_wgt_sc1_16_201e,error,hw05,92.7835,93.8796,23.3571,2.5768,95.5568,90.1665,99.8266
dyn_wgt_sc1_16_201e,error,hw06,96.344,97.7383,23.1321,1.0538,95.8091,96.8849,99.3863
dyn_wgt_sc1_16_201e,error,hw07,76.4136,82.1323,20.4255,4.1414,64.0058,94.7888,73.5638
dyn_wgt_sc1_16_201e,error,hw08,95.9323,98.1154,23.1472,1.411,94.7774,97.1156,99.5791
dyn_wgt_sc1_16_201e,error,pr01,92.7322,95.5838,21.3732,1.9781,91.4984,93.9997,98.7697
dyn_wgt_sc1_16_201e,error,pr02,95.6981,97.2259,21.1418,1.5012,95.7637,95.6326,99.9118
dyn_wgt_sc1_16_201e,error,pr03,95.5621,97.9701,21.9688,1.7398,93.5184,97.697,98.7053
dyn_wgt_sc1_16_201e,error,pr04,92.3685,94.9693,17.3647,3.4357,89.4315,95.5049,95.2888
dyn_wgt_sc1_16_201e,error,pr05,94.4844,95.6959,16.8801,2.7522,95.5511,93.4413,99.5885
dyn_wgt_sc1_16_201e,error,pr06,83.7587,84.1764,13.8463,9.1643,93.6923,75.7296,98.5013
dyn_wgt_sc1_16_201e,error,pr07,94.7694,97.0835,16.6052,1.5248,93.471,96.1043,99.3449
dyn_wgt_sc1_16_201e,error,pr08,85.8364,87.6158,15.8524,5.4884,91.7266,80.6571,99.6136
dyn_wgt_sc2_16_201e,error,hw01,90.8092,94.3172,21.718,2.4028,85.087,97.3566,91.9705
dyn_wgt_sc2_16_201e,error,hw02,92.5051,96.0533,20.0455,2.0827,91.0265,94.0326,98.988
dyn_wgt_sc2_16_201e,error,hw03,91.55,95.387,19.7286,2.1769,87.3677,96.1527,95.4735
dyn_wgt_sc2_16_201e,error,hw04,96.3488,97.153,24.5271,1.6511,97.6803,95.0532,99.9381
dyn_wgt_sc2_16_201e,error,hw05,86.0274,85.9807,20.0895,6.7624,97.1039,77.2191,99.8995
dyn_wgt_sc2_16_201e,error,hw06,96.063,97.8614,22.8321,1.1488,95.0553,97.0922,99.3476
dyn_wgt_sc2_16_201e,error,hw07,76.2698,84.2961,20.4669,4.0747,62.8962,96.8664,75.2003
dyn_wgt_sc2_16_201e,error,hw08,95.9861,97.9541,23.1889,1.393,95.1835,96.8024,99.6199
dyn_wgt_sc2_16_201e,error,pr01,91.058,93.7269,20.3946,2.8149,91.4814,90.6386,98.4915
dyn_wgt_sc2_16_201e,error,pr02,95.611,96.3715,20.997,1.612,96.9577,94.3012,99.9121
dyn_wgt_sc2_16_201e,error,pr03,95.4156,97.9128,21.8347,1.8058,93.2258,97.7108,98.4978
dyn_wgt_sc2_16_201e,error,pr04,93.8198,96.2765,18.2111,2.6515,92.3071,95.383,98.1153
dyn_wgt_sc2_16_201e,error,pr05,94.6762,95.9474,17.0296,2.6493,95.8384,93.5419,99.8833
dyn_wgt_sc2_16_201e,error,pr06,79.8078,79.6326,12.6542,12.5361,94.4868,69.0765,98.82
