method,criterium,Name,F-Measure,Fps,PSNR,DRD,Recall,Rps,Pps
dyn_wgt_sc1_16_201e,error,h01,94.669,94.7805,22.2732,2.6249,92.4927,96.9502,93.3047
dyn_wgt_sc1_16_201e,error,h02,87.4567,89.243,17.0118,4.5098,81.8903,93.8351,86.2112
dyn_wgt_sc1_16_201e,error,h03,79.4072,80.8646,16.4978,9.402,67.9358,95.5396,70.4557
dyn_wgt_sc1_16_201e,error,h04,92.4267,92.893,21.4451,2.3171,90.1569,94.8137,92.0934
dyn_wgt_sc1_16_201e,error,h05,91.8973,92.0996,19.9671,2.4902,96.2849,87.8921,99.6159
dyn_wgt_sc1_16_201e,error,h06,88.911,89.2154,18.0447,5.0439,95.4022,83.2468,98.5474
dyn_wgt_sc1_16_201e,error,h07,88.082,91.8253,18.1362,2.6724,85.1945,91.172,95.2675
dyn_wgt_sc1_16_201e,error,h08,94.2529,94.6736,20.7952,1.704,96.5282,92.0823,99.8359
dyn_wgt_sc1_16_201e,error,h09,91.399,93.7237,17.2732,3.271,86.7132,96.6203,91.7378
dyn_wgt_sc1_16_201e,error,h10,90.8549,92.4521,17.6103,4.2275,86.4172,95.773,90.1448
dyn_wgt_sc1_16_201e,error,h11,83.7859,85.6691,16.0087,6.4047,75.5924,93.9715,79.6357
dyn_wgt_sc1_16_201e,error,h12,89.98,91.8355,19.4682,2.5606,87.982,92.0708,93.5124
dyn_wgt_sc1_16_201e,error,h13,85.7435,89.4555,18.8691,3.48,80.6763,91.4897,89.3061
dyn_wgt_sc1_16_201e,error,h14,94.4685,96.0549,22.9354,1.608,94.6508,94.2868,99.1772
dyn_wgt_sc2_16_201e,error,h01,94.9302,95.1182,22.4944,2.4626,92.683,97.2891,93.539
dyn_wgt_sc2_16_201e,error,h02,88.3888,90.8328,17.2959,4.208,83.7451,93.5778,89.3733
dyn_wgt_sc2_16_201e,error,h03,83.0491,84.2935,17.1765,7.9075,73.8287,94.9012,76.3144
dyn_wgt_sc2_16_201e,error,h04,92.4815,93.1887,21.4948,2.284,89.833,95.2909,92.1187
dyn_wgt_sc2_16_201e,error,h05,92.8324,93.599,20.5747,2.0578,95.6005,90.2201,99.5592
dyn_wgt_sc2_16_201e,error,h06,88.2355,88.7697,17.7799,5.5073,94.8515,82.4823,98.3268
dyn_wgt_sc2_16_201e,error,h07,88.0688,92.5278,18.1943,2.6375,83.957,92.6041,94.7688
dyn_wgt_sc2_16_201e,error,h08,94.8246,95.2052,21.2594,1.5283,96.9096,92.8274,99.8643
dyn_wgt_sc2_16_201e,error,h09,91.2209,93.5595,17.2075,3.3747,86.0801,97.0147,90.9814
dyn_wgt_sc2_16_201e,error,h10,90.4685,92.4155,17.453,4.4339,85.6071,95.9152,89.9436
dyn_wgt_sc2_16_201e,error,h11,83.7912,86.2898,16.0464,6.3648,74.9669,94.97,79.8218
dyn_wgt_sc2_16_201e,error,h12,90.0983,92.4549,19.5652,2.5027,87.1817,93.2169,93.3077
dyn_wgt_sc2_16_201e,error,h13,85.6183,89.3406,18.811,3.6348,80.9329,90.8795,89.7868
dyn_wgt_sc2_16_201e,error,h14,94.5248,96.4939,23.0067,1.5858,94.1239,94.929,99.2254
dyn_wgt_sc2_4equal_201e,error,h01,95.0841,95.06,22.6022,2.4904,93.393,96.8376,94.0096
